year,title,author,id,community
1750,Discourse on the Arts and Sciences ,Jean-Jacques Rousseau,55,2
1784,Philosophy of History of Humanity,Johann Gottfried Herder,76,2
1795,Sketch for a Historical Picture of the Progress of the Human Mind,Marquis de Condorcet,88,2
1799,On Religion,Friedrich Schleiermacher,93,2
1806,Allgemeine Pädagogik,Johann Friedrich Herbart,100,2
1808,General Practical Philosophy,Johann Friedrich Herbart,102,2
1816,Compendium of psychology,Johann Friedrich Herbart,106,2
1828,General Metaphysics,Johann Friedrich Herbart,112,2
1876,Propaedentic to aesthetic,Gustav Fechner,154,2
1883,Introduction to Human Sciences,Wilhelm Dilthey,162,2
1892,The Problems of the Philosophy of History,Georg Simmel,174,2
1894,The Beginnings of Art,Ernst Grosse,179,2
1896,The Sense of Beauty,George Santayana,181,2
1899,Kulturwissenschaft und Naturwissenschaft,Heinrich Rickert,184,2
1902,Aesthetic as Science of Expression and General Linguistic,Benedetto Croce,191,2
1905,Logic as the Science of the Pure Concept,Benedetto Croce,198,2
1909,"Filosofia della pratica, economia ed etica",Benedetto Croce,208,2
1910,The Structure of the Historical World in the Human Sciences,Wilhelm Dilthey,210,2
1917,History: Its Theory and Practice,Benedetto Croce,221,2
1919,Religion of Reason out of the Sources of Judaism,Hermann Cohen,225,2
1921,The Nature of Existence ,J. M. E. McTaggart,230,2
1923,Theorie des objektiven Geistes,Hans Freyer,238,2
1930,The Revolt of the Masses,José Ortega y Gasset,256,2
1932,Philosophy,Karl Jaspers,262,2
1934,Revolt Against the Modern World,Julius Evola,270,2
1938,The Problem of Historical Knowledge,Maurice Mandelbaum,283,2
1938,Introduction to the Philosophy of History,Raymond Aron,287,2
1946,The Idea of History,R. G. Collingwood,305,2
1949,The Origin and Goal of History,Karl Jaspers,318,2
1949,Meaning in History ,Karl Löwith,315,2
1953,Philosophical Investigations,Ludwig Wittgenstein,326,2
1675,Ethics,Arnold Geulincx,11,3
1677,Ethics,Baruch Spinoza,12,3
1767,"Phaedo, or on the Immortality of the Soul",Moses Mendelssohn,67,3
1781,Critique of Pure Reason,Immanuel Kant,74,3
1788,Critique of Practical Reason,Immanuel Kant,82,3
1790,Critique of Judgment,Immanuel Kant,85,3
1797,The Metaphysics of Morals,Immanuel Kant,90,3
1800,System of Transcendental Idealism,Friedrich Wilhelm Joseph Schelling,95,3
1807,The Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel,101,3
1812,Science of Logic,Georg Wilhelm Friedrich Hegel,104,3
1817,Encyclopedia of the Philosophical Sciences,Georg Wilhelm Friedrich Hegel,107,3
1819,The World as Will and Representation,Arthur Schopenhauer,108,3
1821,Elements of the Philosophy of Right,Georg Wilhelm Friedrich Hegel,110,3
1835,Lectures on Aesthetics,Georg Wilhelm Friedrich Hegel,115,3
1836,The Will in Nature,Arthur Schopenhauer,117,3
1841,The Essence of Christianity,Ludwig Feuerbach,123,3
1843,Basic Principles of the Philosophy of the Future,Ludwig Feuerbach,127,3
1844,The Ego and Its Own,Max Stirner,129,3
1865,History of Materialism and Critique of Its Present Importance,Friedrich Lange,142,3
1865,Lectures on Scientific Subjects,Hermann von Helmholtz,143,3
1869,Philosophy of the Unconscious,Eduard von Hartmann,144,3
1872,The Birth of Tragedy,Friedrich Nietzsche,148,3
1878,"Human, All Too Human",Friedrich Nietzsche,157,3
1883,Thus Spoke Zarathustra,Friedrich Nietzsche,160,3
1887,On the Genealogy of Morality,Friedrich Nietzsche,167,3
1892,A History Of Aesthetic,Bernard Bosanquet,175,3
1892,The Spirit of Modern Philosophy,Josiah Royce,173,3
1894,The Development of the Monist View of History,Georgi Plekhanov,180,3
1901,The Will to Power,Friedrich Nietzsche,187,3
1908,Fundamental Problems of Marxism,Georgi Plekhanov,207,3
1911,The Philosophy of “As If”,Hans Vaihinger,212,3
1916,The Theory of Mind as Pure Act,Giovanni Gentile,220,3
1923,History and Class Consciousness,György Lukács,237,3
1923,Marxism and Philosophy,Karl Korsch,239,3
1926,Ethics,Nicolai Hartmann,245,3
1932,The German Ideology,Karl Marx/Friedrich Engels,264,3
1935,Introduction to Metaphysics,Martin Heidegger,275,3
1935,The Work of Art in the Age of Mechanical Reproduction,Walter Benjamin,274,3
1940,Le Matérialisme dialectique,Henri Lefebvre,290,3
1941,Reason and Revolution,Herbert Marcuse,291,3
1943,Inner Experience,Georges Bataille,294,3
1947,Critique de la vie quotidienne,Henri Lefebvre,306,3
1947,Dialectic of Enlightenment,Max Horkheimer/Theodor  W. Adorno,307,3
1948,Sens et non-sens,Maurice Merleau-Ponty,313,3
1950,Off the Beaten Track,Martin Heidegger,320,3
1951,Subjekt-Objekt,Ernst Bloch,322,3
1951,The Mystery of Being,Gabriel Marcel,323,3
1713,Physico-Theology,William Derham,31,4
1785,Groundwork of the Metaphysic of Morals,Immanuel Kant,80,4
1789,An Introduction to the Principles of Morals and Legislation,Jeremy Bentham,83,4
1841,Metaphysics,Hermann Lotze,122,4
1859,On Liberty,John Stuart Mill,139,4
1861,Utilitarianism,John Stuart Mill,141,4
1874,The Methods of Ethics,Henry Sidgwick,151,4
1876,Ethical Studies,Francis Herbert Bradley,155,4
1883,Prolegomena to Ethics,Thomas Hill Green,163,4
1885,The Religious Aspect of Philosophy,Josiah Royce,165,4
1893,Appearance and Reality,Francis Herbert Bradley,178,4
1897,The Will to Believe,William James,183,4
1902,The Varieties of Religious Experience,William James,190,4
1903,Humanism,Ferdinand Canning Scott Schiller,194,4
1903,Principia Ethica,G. E. Moore,193,4
1905,The Life of Reason,George Santayana,199,4
